Number of vertices, Execution time (seconds)
10, 0.000148309
12, 0.000316165
14, 0.00026532
16, 0.000825916
18, 0.000892252
20, 0.000935881
22, 0.00150741
24, 0.0024988
26, 0.00297931
28, 0.00284852
30, 0.0033538
32, 0.00534745
34, 0.00744753
36, 0.00605777
38, 0.00676202
40, 0.0135574
42, 0.014327
44, 0.0160405
46, 0.0113619
48, 0.0120184
50, 0.0131392
52, 0.0192654
54, 0.0165752
56, 0.0237151
58, 0.0246109
60, 0.0314456
62, 0.0284387
64, 0.0349201
66, 0.0359467
68, 0.0483587
70, 0.0597726
72, 0.0471969
74, 0.0478603
76, 0.0490047
78, 0.0551829
80, 0.0689391
82, 0.0707818
84, 0.06959
86, 0.115266
88, 0.0958907
90, 0.105689
92, 0.0963417
94, 0.0974133
96, 0.113926
98, 0.122964
100, 0.144687
