Nombre de points, Temps d'exécution (s)
10, 2.323e-05
12, 5.0764e-05
14, 6.3366e-05
16, 0.000126751
18, 0.000171778
20, 0.000268397
22, 0.000891715
24, 0.00123438
26, 0.00130177
28, 0.00137616
30, 0.00096271
32, 0.0012983
34, 0.00157402
36, 0.00258444
38, 0.00496191
40, 0.00419007
42, 0.00373393
44, 0.00454389
46, 0.0122958
48, 0.0149971
50, 0.00862287
52, 0.00826447
54, 0.00897079
56, 0.0175184
58, 0.0122313
60, 0.0199252
62, 0.017332
64, 0.0175193
66, 0.027902
68, 0.0258268
70, 0.026352
72, 0.0389534
74, 0.0272945
76, 0.0324303
78, 0.0310123
80, 0.0412179
82, 0.0508268
84, 0.0456703
86, 0.0482334
88, 0.053267
90, 0.0637977
92, 0.0692058
94, 0.0878053
96, 0.0756466
98, 0.0830778
100, 0.0868559
